                        Nombre_de_la_prueba: MF1-1:1

  Datos_de_entrada
  b      15.0000     lm      96.0000    hc     15.0000
  fpc      280.000
 tipo_acero: G42RB                                              rho     9.844748E-04
      Datos del acero
  diámetro      núm._de_barras         profundidad
     0.950000         1.00000         7.50000
     0.950000         1.00000         88.5000
 altura_ini_fin_mod      7.50000         88.5000

 datos_estribos

 Criterios_de_iteración
 iter_máx_para_C     1000.00     núm.de_fibras:      2000.00

                 Resultados

                          Criterio_falla_concreto_NO_confinado
  Momento         Carga_axial             eje_Neutro              phi

      9688.51         49.1645         90.0001        1.511877E-05
      9616.03         48.5887         89.9001        1.487092E-05
      9524.98         47.9287         89.8001        1.463106E-05
      9434.43         47.2800         89.7001        1.439883E-05
      9362.47         46.7337         89.6001        1.417384E-05
      9272.90         46.1063         89.5001        1.395579E-05
      9201.72         45.5790         89.4001        1.374433E-05
      9113.41         44.9724         89.3001        1.353919E-05
      9025.87         44.3765         89.2001        1.334009E-05
      8956.31         43.8775         89.1001        1.314675E-05
      8870.39         43.3016         89.0001        1.295894E-05
      8785.32         42.7361         88.9001        1.277642E-05
      8717.75         42.2640         88.8001        1.259897E-05
      8634.40         41.7175         88.7001        1.242638E-05
      8568.19         41.2623         88.6001        1.225846E-05
      8488.80         40.7236         88.5001        1.209501E-05
      8408.17         40.2052         88.4001        1.193587E-05
      8344.21         39.7748         88.3001        1.178086E-05
      8265.46         39.2738         88.2001        1.162982E-05
      8202.95         38.8587         88.1001        1.148261E-05
      8126.04         38.3743         88.0001        1.133908E-05
      8050.16         37.8984         87.9001        1.119909E-05
      7990.04         37.5055         87.8001        1.106251E-05
      7915.96         37.0452         87.7001        1.092923E-05
      7842.90         36.5929         87.6001        1.079912E-05
      7785.14         36.2207         87.5001        1.067207E-05
      7715.41         35.7753         87.4001        1.054798E-05
      7659.10         35.4161         87.3001        1.042674E-05
      7589.56         34.9928         87.2001        1.030825E-05
      7520.99         34.5766         87.1001        1.019243E-05
      7466.91         34.2359         87.0001        1.007918E-05
      7400.08         33.8328         86.9001        9.968418E-06
      7347.39         33.5036         86.8001        9.860066E-06
      7283.52         33.1068         86.7001        9.754043E-06
      7219.19         32.7229         86.6001        9.650277E-06
      7168.65         32.4104         86.5001        9.548695E-06
      7105.97         32.0383         86.4001        9.449230E-06
      7056.74         31.7359         86.3001        9.351815E-06
      6995.64         31.3752         86.2001        9.256388E-06
      6936.40         31.0149         86.1002        9.162889E-06
      6889.16         30.7274         86.0002        9.071260E-06
      6830.39         30.3832         85.9002        8.981446E-06
      6784.35         30.1048         85.8002        8.893392E-06
      6727.02         29.7707         85.7002        8.807049E-06
      6671.36         29.4372         85.6002        8.722365E-06
      6627.19         29.1722         85.5002        8.639296E-06
      6572.01         28.8529         85.4002        8.557793E-06
      6528.95         28.5960         85.3002        8.477813E-06
      6475.11         28.2858         85.2002        8.399315E-06
      6433.95         28.0328         85.1002        8.322258E-06
      6381.41         27.7314         85.0002        8.246600E-06
      6329.56         27.4345         84.9002        8.172306E-06
      6289.26         27.1969         84.8002        8.099340E-06
      6239.33         26.9048         84.7002        8.027664E-06
      6200.05         26.6742         84.6002        7.957246E-06
      6150.66         26.3935         84.5002        7.888052E-06
      6101.89         26.1169         84.4002        7.820052E-06
      6064.71         25.8936         84.3002        7.753214E-06
      6017.06         25.6245         84.2002        7.687509E-06
      5980.19         25.4104         84.1002        7.622908E-06
      5934.21         25.1458         84.0002        7.559383E-06
      5898.26         24.9379         83.9002        7.496909E-06
      5852.84         24.6827         83.8002        7.435459E-06
      5807.93         24.4312         83.7002        7.375008E-06
      5773.75         24.2299         83.6002        7.315532E-06
      5729.92         23.9848         83.5002        7.257008E-06
      5696.12         23.7911         83.4002        7.199413E-06
      5653.69         23.5503         83.3002        7.142725E-06
      5620.67         23.3620         83.2002        7.086922E-06
      5578.77         23.1292         83.1002        7.031985E-06
      5537.72         22.8979         83.0002        6.977893E-06
      5505.90         22.7172         82.9002        6.924626E-06
      5465.73         22.4918         82.8002        6.872167E-06
      5434.67         22.3159         82.7002        6.820496E-06
      5395.07         22.0974         82.6002        6.769597E-06
      5364.97         21.9248         82.5002        6.719452E-06
      5326.24         21.7116         82.4002        6.670045E-06
      5296.58         21.5446         82.3002        6.621358E-06
      5258.90         21.3355         82.2002        6.573377E-06
      5221.42         21.1299         82.1002        6.526087E-06
      5192.96         20.9687         82.0002        6.479472E-06
      5156.29         20.7680         81.9002        6.433518E-06
      5128.32         20.6114         81.8002        6.388212E-06
      5092.58         20.4148         81.7002        6.343539E-06
      5065.17         20.2621         81.6002        6.299486E-06
      5030.13         20.0702         81.5002        6.256042E-06
      5003.36         19.9212         81.4002        6.213192E-06
      4968.99         19.7337         81.3002        6.170925E-06
      4934.97         19.5487         81.2002        6.129230E-06
      4909.11         19.4051         81.1002        6.088094E-06
      4875.79         19.2242         81.0002        6.047507E-06
      4850.47         19.0841         80.9002        6.007457E-06
      4817.81         18.9072         80.8002        5.967935E-06
      4793.05         18.7703         80.7002        5.928928E-06
      4761.06         18.5971         80.6002        5.890429E-06
      4736.81         18.4634         80.5002        5.852426E-06
      4705.46         18.2939         80.4002        5.814910E-06
      4681.73         18.1632         80.3002        5.777873E-06
      4650.99         17.9973         80.2002        5.741304E-06
      4627.75         17.8695         80.1002        5.705195E-06
      4597.61         17.7071         80.0002        5.669538E-06
      4567.80         17.5466         79.9002        5.634323E-06
      4545.31         17.4231         79.8002        5.599543E-06
      4516.08         17.2658         79.7002        5.565190E-06
      4494.03         17.1450         79.6003        5.531256E-06
      4465.36         16.9910         79.5003        5.497734E-06
